course_title,domain,sub_domain,level,duration,paid_free,price,url
Getting started with the Vertex AI Gemini 1.5 Pro Model,Information Technology,Cloud Computing,Beginner,1,Paid,3052.76,https://www.coursera.org/learn/googlecloud-getting-started-with-the-vertex-ai-gemini-1-5-pro-model-i43mr
SPSS: Apply & Interpret Logistic Regression Models,Data Science,Data Analysis,Beginner,1,Free,0,https://www.coursera.org/learn/spss-apply-interpret-logistic-regression-models
Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,Information Technology,Cloud Computing,Intermediate,1,Paid,4116.55,https://www.coursera.org/learn/googlecloud-securing-compute-engine-applications-and-resources-using-chrom-or1ml
Overcoming  Challenges in Self and Society,Personal Development,Personal Development,Beginner,1,Paid,3790.9,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society
CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,Information Technology,Security,Intermediate,1,Paid,4683.52,https://www.coursera.org/learn/pearson-comptia-cybersecurity-analyst-cysa-cs0-003-video-course-2-jt58z
Dealing With Missing Data,Data Science,Data Analysis,Beginner,1,Paid,3822.63,https://www.coursera.org/learn/missing-data
Unordered Data Structures,Computer Science,Software Development,Beginner,1,Free,0,https://www.coursera.org/learn/cs-fundamentals-3
Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,Information Technology,Cloud Computing,Advanced,1,Paid,7191.02,https://www.coursera.org/learn/googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm
Vital Signs: Understanding What the Body Is Telling Us,Health,Patient Care,Beginner,1,Paid,2905.8,https://www.coursera.org/learn/vital-signs
FinTech Disruptive Innovation: Implications for Society,Business,Finance,Beginner,1,Free,0,https://www.coursera.org/learn/fintech-disruption
Develop Code with Gemini in BigQuery,Information Technology,Cloud Computing,Beginner,1,Paid,3250.66,https://www.coursera.org/learn/googlecloud-develop-code-with-gemini-in-bigquery-l6l2o
The Linux Essentials,Information Technology,Support and Operations,Beginner,1,Free,0,https://www.coursera.org/learn/packt-the-linux-essentials-yafiq
Get Started with iOS App Development,Computer Science,Mobile and Web Development,Beginner,1,Paid,3577.98,https://www.coursera.org/learn/get-started-with-ios-app-development
Create Amazing Macros in Affinity Photo,Arts and Humanities,Music and Art,Beginner,1,Paid,3077.81,https://www.coursera.org/learn/create-amazing-macros-in-affinity-photo
"Inventory Management: Analyze, Optimize & Control",Business,Business Essentials,Beginner,1,Paid,3629.74,https://www.coursera.org/learn/inventory-management-analyze-optimize-control
Brand Identity and Vector Graphics,Business,Marketing,Beginner,1,Paid,2980.95,https://www.coursera.org/learn/xbox-brand-identity-and-vector-graphics
The Evolving Universe,Physical Science and Engineering,Physics and Astronomy,Beginner,1,Free,0,https://www.coursera.org/learn/evolvinguniverse
Use SurveyMonkey to Create a Survey and Analyze Results,Business,Marketing,Beginner,1,Free,0,https://www.coursera.org/learn/create-survey-analyze-results-with-surveymonkey
Performing Data Aggregation using SQL Aggregate Functions,Data Science,Data Analysis,Intermediate,1,Paid,3739.96,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions
Advancing Mask Technology for Semiconductors,Physical Science and Engineering,Electrical Engineering,Intermediate,1,Paid,4554.09,https://www.coursera.org/learn/advancing-mask-technology-for-semiconductors
Developing AI Policy,Data Science,Machine Learning,Beginner,1,Free,0,https://www.coursera.org/learn/developing-ai-policy
Adobe Dreamweaver CC (2017): Part 1,Computer Science,Design and Product,Beginner,1,Paid,3833.48,https://www.coursera.org/learn/adobe-dreamweaver-cc-2017-lo092005
GenAI for Talent Acquisition: Smarter Candidate Screening,Data Science,Machine Learning,Intermediate,1,Paid,3630.58,https://www.coursera.org/learn/genai-for-talent-acquisition-smarter-candidate-screening
Machine Learning in the Enterprise - Français,Data Science,Machine Learning,Intermediate,1,Paid,4314.44,https://www.coursera.org/learn/machine-learning-in-enterprise-fr
Unlock Multimodal Search,Information Technology,Data Management,Intermediate,1,Paid,3537.06,https://www.coursera.org/learn/unlock-multimodal-search
Consulting Presentations and Storytelling,Business,Business Strategy,Beginner,1,Paid,3231.45,https://www.coursera.org/learn/management-consulting-presentations
Qualitative Research Interviews,Business,Business Essentials,Beginner,1,Paid,3426,https://www.coursera.org/learn/qualitative-research-interviews
The Zero Trust Framework,Information Technology,Security,Intermediate,1,Paid,3893.6,https://www.coursera.org/learn/pearson-the-zero-trust-framework-video-course-o5esi
Negotiation: Remember Levers and Record Notes,Business,Business Strategy,Beginner,1,Free,0,https://www.coursera.org/learn/negotiation-remember-levers--record-notes
Analyze and Create Your AI Marketing Plan,Business,Marketing,Beginner,1,Paid,3136.26,https://www.coursera.org/learn/analyze-and-create-your-ai-marketing-plan
Master After Effects: Analyze & Create Dynamic Motion,Computer Science,Design and Product,Beginner,1,Paid,3655.63,https://www.coursera.org/learn/master-after-effects-analyze-create-dynamic-motion
Growing and Sustaining Online Communities,Business,Business Essentials,Beginner,1,Paid,3069.46,https://www.coursera.org/learn/growing-and-sustaining-online-communities
Product Management: Developing and Delivering a New Product,Information Technology,Support and Operations,Beginner,1,Paid,3021.03,https://www.coursera.org/learn/product-management-developing-and-delivering-a-new-product
"Memory, Encryption, and Protecting Data in Android",Computer Science,Mobile and Web Development,Beginner,1,Paid,3028.54,https://www.coursera.org/learn/memory-encryption-and-protecting-data-android
Fundamentals of Blockchain Architecture,Computer Science,Software Development,Intermediate,1,Paid,4478.11,https://www.coursera.org/learn/fundamentals-blockchain-architecture
"2026 Mobile App Marketing With ASO, And Monetization",Business,Marketing,Beginner,1,Paid,2836.5,https://www.coursera.org/learn/mobile-app-marketing
Vulnerability Assessment and Management,Computer Science,Computer Security and Networks,Intermediate,1,Free,0,https://www.coursera.org/learn/vulnerability-assessment-and-management
Simulate with Monte Carlo,Business,Business Strategy,Intermediate,1,Paid,3557.1,https://www.coursera.org/learn/simulate-with-monte-carlo
Cómo empezar con Facebook Commerce Manager,Business,Entrepreneurship,Beginner,1,Paid,2959.24,https://www.coursera.org/learn/facebook-commerce
Researcher Management and Leadership Training,Health,Healthcare Management,Intermediate,1,Paid,4321.12,https://www.coursera.org/learn/researcher-management-leadership-training
Introduction to Enterprise Computing,Information Technology,Cloud Computing,Beginner,1,Paid,3366.72,https://www.coursera.org/learn/introduction-enterprise-computing
Financial Planning,Business,Finance,Beginner,2,Free,0,https://www.coursera.org/learn/financial-planning-course-isb
Multimodality with Gemini,Information Technology,Cloud Computing,Intermediate,1,Paid,4569.96,https://www.coursera.org/learn/googlecloud-multimodality-with-gemini-zlf0n
"Systems Acquisition, Development and Implementation",Computer Science,Computer Security and Networks,Intermediate,1,Free,0,https://www.coursera.org/learn/packt-systems-acquisition-development-implementation-l8app
Creating Engaging Content for YouTube,Business,Marketing,Beginner,1,Paid,3668.99,https://www.coursera.org/learn/creating-engaging-content-for-youtube
Building No-Code Apps with AppSheet: Implementation,Information Technology,Cloud Computing,Intermediate,1,Paid,4847.18,https://www.coursera.org/learn/building-no-code-apps-with-appsheet-implementation
"Modern Robotics, Course 1:  Foundations of Robot Motion",Physical Science and Engineering,Mechanical Engineering,Intermediate,1,Paid,4713.58,https://www.coursera.org/learn/modernrobotics-course1
Voice AI: Introduction to Building Voice Applications,Data Science,Machine Learning,Beginner,1,Paid,3900.28,https://www.coursera.org/learn/voice-ai-introduction-to-building-voice-applications
Blockchain Evolution and Technology Concepts,Information Technology,Security,Beginner,1,Paid,3894.44,https://www.coursera.org/learn/blockchain-evolution-and-technology-concepts
Mastering Microsoft Endpoint Manager and Intune,Information Technology,Security,Intermediate,1,Paid,3740.8,https://www.coursera.org/learn/packt-mastering-microsoft-endpoint-manager-and-intune-sntyi
From prototyping to validating business models,Business,Leadership and Management,Intermediate,1,Paid,3674,https://www.coursera.org/learn/from-prototyping-to-validating-business-models
University Studies for Student Veterans,Personal Development,Personal Development,Beginner,3,Paid,3385.92,https://www.coursera.org/learn/university-studies-for-student-veterans
Modelos predictivos con Machine Learning,Computer Science,Software Development,Intermediate,1,Paid,4804.59,https://www.coursera.org/learn/modelos-predictivos-con-machine-learning
