title,domain,subdomain,mentor,duration,price,url
"Python for Data Science, AI & Development",Data Science,Data Science Development,Coursera,1-4 Weeks,Free,https://www.coursera.org
What is Data Science?,Data Science,Data Science Science?,Coursera,1-4 Weeks,Free,https://www.coursera.org
IBM Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
Databases and SQL for Data Science with Python,Data Science,Data Science Python,Coursera,1-4 Weeks,Free,https://www.coursera.org
Foundations of Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
Introduction to Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
Applied Data Science with Python,Data Science,Data Science Python,Coursera,1-3 Months,Free,https://www.coursera.org
Python Project for Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science Foundations,Data Science,Data Science Foundations,Coursera,1-3 Months,Free,https://www.coursera.org
Data Analysis with Python,Data Science,Data Science Python,Coursera,1-4 Weeks,Free,https://www.coursera.org
Mathematics for Machine Learning and Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
SQL for Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
Introduction to Data Science in Python,Data Science,Data Science Python,Coursera,1-3 Months,Free,https://www.coursera.org
Google Data Analytics,Data Science,Data Science Analytics,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science Fundamentals with Python and SQL,Data Science,Data Science SQL,Coursera,1-4 Weeks,Free,https://www.coursera.org
Google Advanced Data Analytics,Data Science,Data Science Analytics,Coursera,1-3 Months,Free,https://www.coursera.org
Advanced Statistics for Data Science,Data Science,Data Science Science,Coursera,1-3 Months,Free,https://www.coursera.org
Data Science Math Skills,Data Science,Data Science Skills,Coursera,1-3 Months,Free,https://www.coursera.org
A Crash Course in Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
Data Science Challenge,Data Science,Data Science Challenge,Coursera,1-3 Months,Free,https://www.coursera.org
Probability & Statistics for Machine Learning & Data Science,Data Science,Data Science Science,Coursera,1-4 Weeks,Free,https://www.coursera.org
